,Unnamed: 0,Date,o,h,l,c,v
0,0,2022-07-11 09:15:00,359.9,362.75,359.2,361.6,3803
1,1,2022-07-11 09:30:00,361.6,361.6,358.3,359.1,7812
2,2,2022-07-11 09:45:00,359.1,363.55,359.1,361.9,11298
3,3,2022-07-11 10:00:00,361.9,362.2,360.05,361.6,12293
4,4,2022-07-11 10:15:00,361.6,362.05,360.75,361.8,12961
5,5,2022-07-11 10:30:00,361.8,367.0,361.8,364.5,16750
6,6,2022-07-11 10:45:00,364.5,366.3,364.35,366.0,17345
7,7,2022-07-11 11:00:00,366.0,366.0,363.2,364.9,18762
8,8,2022-07-11 11:15:00,364.9,365.3,364.75,364.9,19085
9,9,2022-07-11 11:30:00,364.9,366.55,364.9,366.15,20470
10,10,2022-07-11 11:45:00,366.05,370.4,366.05,370.0,26880
11,11,2022-07-11 12:00:00,370.05,372.55,368.8,368.8,36874
12,12,2022-07-11 12:15:00,368.8,371.95,368.45,368.7,38977
13,13,2022-07-11 12:30:00,369.15,370.4,368.7,370.1,40189
14,14,2022-07-11 12:45:00,370.1,372.4,369.6,371.5,44988
15,15,2022-07-11 13:00:00,371.5,372.55,371.0,371.85,47182
16,16,2022-07-11 13:15:00,371.85,372.1,370.25,370.4,48140
17,17,2022-07-11 13:30:00,370.1,370.1,368.35,369.55,49426
18,18,2022-07-11 13:45:00,369.55,369.55,367.5,367.6,50846
19,19,2022-07-11 14:00:00,367.6,370.15,367.6,369.85,52155
20,20,2022-07-11 14:15:00,369.75,370.45,369.7,370.3,52370
21,21,2022-07-11 14:30:00,370.55,370.55,366.5,367.55,54309
22,22,2022-07-11 14:45:00,367.55,369.5,367.2,368.5,55182
23,23,2022-07-11 15:00:00,368.5,369.0,368.0,368.25,57278
24,24,2022-07-11 15:15:00,368.25,369.0,365.95,367.55,61952
25,25,2022-07-11 15:30:00,369.0,369.0,368.0,368.0,61963
26,26,2022-07-12 09:15:00,380.0,380.0,367.05,369.95,8948
27,27,2022-07-12 09:30:00,370.05,375.0,370.05,374.85,17441
28,28,2022-07-12 09:45:00,374.85,375.55,374.3,375.5,25581
29,29,2022-07-12 10:00:00,375.5,375.8,375.05,375.8,30436
30,30,2022-07-12 10:15:00,375.8,376.0,375.5,375.5,33823
31,31,2022-07-12 10:30:00,375.6,376.0,375.5,375.8,35365
32,32,2022-07-12 10:45:00,375.8,376.0,375.5,375.5,40111
