,0,1
0,"ENGINERSIN,",0.4885993485341973
1,"SJVN,",0.5504587155963251
2,"GICRE,",0.6485084306095978
3,"IRCON,",0.6684491978609626
4,"IGL,",0.6741270055278414
5,"ULTRACEMCO,",0.7298517971527193
6,"IRFC,",0.7481296758104844
7,"TIMKEN,",0.8635102972127627
8,"UCOBANK,",0.8849557522124019
9,"IPCALAB,",0.9031533829982674
10,"RECLTD,",0.9505703422053232
11,"HEROMOTOCO,",0.980906420478379
12,"SONACOMS,",1.0098349139445029
13,"BRITANNIA,",1.0105087703306337
14,"3MINDIA,",1.0286895162608836
15,"ROSSARI,",1.0381430071153597
16,"ECLERX,",1.0455149100567471
17,"DCMSHRIRAM,",1.0464389837567634
18,"TATAMOTORS,",1.0884353741496624
19,"SUPRAJIT,",1.1394302848575746
20,"CESC,",1.2278308321964413
21,"CASTROLIND,",1.2368300503893803
22,"ASAHIINDIA,",1.2489158716392101
23,"INDIAMART,",1.2601682762471513
24,"BALKRISIND,",1.2857142857142778
25,"SHREECEM,",1.2917805995679987
26,"BEL,",1.3213087248322173
27,"CERA,",1.3737256044276103
28,"BLUEDART,",1.4247991738143768
29,"HLEGLAS,",1.4319199447065434
30,"POLYPLEX,",1.4587502779630945
31,"SUZLON,",1.481481481481476
32,"PGHH,",1.5030179674340232
33,"BAJFINANCE,",1.504358064324863
34,"INFIBEAM,",1.5094339622641455
35,"KEI,",1.5916530278232441
36,"OFSS,",1.670395922680092
37,"BAJAJFINSV,",1.6962028469307635
38,"RATNAMANI,",1.704613541042543
39,"JSL,",1.7324350336862477
40,"VINATIORGA,",1.753658536585368
41,"CSBBANK,",1.76715176715177
42,"TORNTPHARM,",1.7887050311516075
43,"CUB,",1.8082565677243299
44,"DEEPAKNTR,",1.8745132940260343
45,"CHOLAFIN,",1.9491657570559804
46,"IBULHSGFIN,",1.9874476987447611
47,"CARBORUNIV,",2.1003717472119017
48,"IBREALEST,",2.141157811260895
49,"DHANI,",2.18978102189781
50,"CEATLTD,",2.253546020944722
51,"AFFLE,",2.2770398481973433
52,"ALOKINDS,",2.3364485981308416
53,"HIKAL,",2.368093061902779
54,"CHAMBLFERT,",2.411040904556036
55,"JUBLFOOD,",2.4671194017020586
56,"VMART,",2.5745437938842723
57,"AIAENG,",2.6352199919112644
58,"LODHA,",2.7502254283137963
59,"SAIL,",2.7529249827942186
60,"HINDPETRO,",2.7835051546391756
61,"HINDCOPPER,",2.8052805280528177
62,"DBL,",2.8516654684879064
63,"APTUS,",2.896204353300958
64,"DELTACORP,",3.107113654946846
65,"ROUTE,",3.412468490161416
66,"BANDHANBNK,",4.063730755460087
67,"BCG,",4.669703872437352
